"","Canal","Variable","Mean","SD","Min","Max","n"
"1","A","SpC..uS.cm.",335.6,60.7907887759322,266.4,380.4,3
"2","A","pH",8.14333333333333,0.170977581376429,8.03,8.34,3
"3","A","o.Phosphate.ug.L.PW",32.26525,1.49447018203777,31.2085,33.322,2
"4","A","Ammonium.mg.L.PW",0.043373455,0.0334947151376172,0.006941933,0.072834397,3
"5","A","Nitrate.ppb.PW",228.60227275,13.5475230967595,219.0227273,238.1818182,2
"6","A","TDC.mg.L.PW",3.0717615155,0.652706001101465,2.610228676,3.533294355,2
"7","A","DOC.mg.L.PW",2.1580888355,0.48519696123447,1.815002774,2.501174897,2
"8","A","TDN.ug.L.PW",245.2857143,74.055405482224,192.9206349,297.6507937,2
"9","A","o.Phosphate.ug.L.SW",14.693,10.6235722805467,7.181,22.205,2
"10","A","Ammonium.mg.L.SW",0.0272554453333333,0.0186587760452039,0.008237761,0.045533306,3
"11","A","Nitrate.ppb.SW",120.439393933333,82.7847494200991,62.90909091,215.3181818,3
"12","A","TDC.mg.L.SW",25.1231945266667,2.26198583462083,22.68648087,27.15604496,3
"13","A","DOC.mg.L.SW",15.0110744866667,1.45057460691423,13.53483894,16.43454848,3
"14","A","TDN.ug.L.SW",404.079365066667,119.910523434581,279,518.047619,3
"15","A","Biomass_per_Area",8.93385502444444,9.96181064548708,0,19.6759197573333,3
"16","A","Curly.Leaf.Pondweed",0.077203813,0.132485739440156,0,0.2301829445,3
"17","A","Ditchgrass",7.098266250875,6.81402045585338,0,13.587099522,3
"18","A","Elodea",0.022195378875,0.0305618766838304,0,0.057053375,3
"19","A","Filamentous.Algae",0.0567044350416667,0.08203171675662,0,0.150765539625,3
"20","A","Nitella",0.002814458,0.00487478425176869,0,0.008443374,3
"21","A","Milfoil",0,0,0,0,3
"22","A","SDI",0.0647400149583333,0.0560871974969625,0,0.0986336925,3
"23","A","PAR.30da",667.857929666667,37.5767886015612,630.4937558,705.6437839,3
"24","A","AQI.30da",58.2,16.849563130179,47.66666667,77.63333333,3
"25","A","PM.30da",17.7467777766667,25.0863382573732,2.396333333,46.69633333,3
"26","A","Temp.30da",20.4676367833333,3.4939286227855,16.84590408,23.81792718,3
"27","A","Flow.cms.30da",3.54523280433333,1.01855630323521,2.467245015,4.491551738,3
"28","A","Bulk_Density_g_mL",1.87151111111111,0.0655738543199222,1.8304,1.94713333333333,3
"29","A","pct_OM",0.948333333333333,0.292422829326151,0.695,1.26833333333333,3
"30","A","sed_pH",7.18,0.133551904183771,7.08,7.33166666666667,3
"31","A","TSS_mgmL",0.026346990512,0.0274969239758489,0.006911764706,0.05780821918,3
"32","A","Light_ext_coeff",0.0365333333333333,0.0088523066673796,0.0278,0.0455,3
"33","DL","SpC..uS.cm.",327.533333333333,58.3350094997278,270.4,387,3
"34","DL","pH",8.34,0.495075751779463,7.93,8.89,3
"35","DL","o.Phosphate.ug.L.PW",13.5896666666667,8.29167234840676,7.63,23.059,3
"36","DL","Ammonium.mg.L.PW",0.359506897,0.343829503832267,0.02132563,0.708719158,3
"37","DL","Nitrate.ppb.PW",295.3030303,96.9123457605187,183.6363636,357.4545455,3
"38","DL","TDC.mg.L.PW",8.625977174,1.63195690867098,7.398687715,10.47800948,3
"39","DL","DOC.mg.L.PW",5.59993690366667,1.27870114849426,4.499559414,7.002741425,3
"40","DL","TDN.ug.L.PW",787.227513333333,562.334224903872,266.8571429,1383.761905,3
"41","DL","o.Phosphate.ug.L.SW",12.2196666666667,8.06668812669322,3.695,19.733,3
"42","DL","Ammonium.mg.L.SW",0.0022764685,0.00180519906464204,0.001,0.003552937,2
"43","DL","Nitrate.ppb.SW",139.68181815,9.83521249553012,132.7272727,146.6363636,2
"44","DL","TDC.mg.L.SW",22.47913554,4.77988297073516,17.21971026,26.55837069,3
"45","DL","DOC.mg.L.SW",13.1491900833333,2.5159556100385,10.70692863,15.73287425,3
"46","DL","TDN.ug.L.SW",469.158730166667,192.862499139357,262.3333333,644.0793651,3
"47","DL","Biomass_per_Area",12.5561370260444,7.18406964593163,7.49380292933333,20.778563759,3
"48","DL","Curly.Leaf.Pondweed",0.0391463175777778,0.0425908407945757,0,0.0845003624,3
"49","DL","Ditchgrass",5.74607188475556,3.39965125147595,2.060205291,8.75879970266667,3
"50","DL","Elodea",2.2519522574,1.77996462946663,0.6670861482,4.17770946866667,3
"51","DL","Filamentous.Algae",3.11908499491111,2.64802710762123,0.811466317333333,6.010196723,3
"52","DL","Nitella",0.0519870074444444,0.0900441382272392,0,0.155961022333333,3
"53","DL","Milfoil",0.000271183888888889,0.000469704273749669,0,0.000813551666666667,3
"54","DL","SDI",0.856154554666667,0.157146274693202,0.677826819,0.974376393333333,3
"55","DL","PAR.30da",670.665785566667,35.119772857554,638.3011101,708.0092736,3
"56","DL","AQI.30da",55.7444444466667,13.9789656810019,47,71.86666667,3
"57","DL","PM.30da",13.1723333323333,18.3517092492815,2.191666667,34.35833333,3
"58","DL","Temp.30da",20.47928266,3.88549588324755,16.52271484,24.28957546,3
"59","DL","Flow.cms.30da",2.80793816766667,1.44672729033047,1.393585444,4.285000646,3
"60","DL","Bulk_Density_g_mL",1.69565555555556,0.0538492786842574,1.63773333333333,1.7442,3
"61","DL","pct_OM",2.01166666666667,0.602308060713121,1.31666666666667,2.38166666666667,3
"62","DL","sed_pH",7.35444444444444,0.1018213759119,7.24,7.435,3
"63","DL","TSS_mgmL",0.038572267471,0.0570926797764904,0.00431372549,0.10448,3
"64","DL","Light_ext_coeff",0.0458,0.0253144227664784,0.0279,0.0637,2
"65","UL","SpC..uS.cm.",312.333333333333,70.8147112776246,240.7,382.3,3
"66","UL","pH",8.35333333333333,0.439810565281614,8.07,8.86,3
"67","UL","o.Phosphate.ug.L.PW",11.942,2.24556184506239,9.5,13.918,3
"68","UL","Ammonium.mg.L.PW",0.131042679666667,0.149999792417319,0.030783651,0.303487496,3
"69","UL","Nitrate.ppb.PW",108.0909091,NA,108.0909091,108.0909091,1
"70","UL","TDC.mg.L.PW",5.515797224,1.45357856339197,4.566231404,7.189176899,3
"71","UL","DOC.mg.L.PW",3.707592224,0.812787923891235,3.061943148,4.620312653,3
"72","UL","TDN.ug.L.PW",409.7142857,101.474795058554,321.7777778,520.7460317,3
"73","UL","o.Phosphate.ug.L.SW",10.544,4.79837045255991,5.511,15.067,3
"74","UL","Ammonium.mg.L.SW",0.0104705163333333,0.0105646914745829,0.002310837,0.022403854,3
"75","UL","Nitrate.ppb.SW",74.4393939366667,35.9849696965146,33.36363636,100.4090909,3
"76","UL","TDC.mg.L.SW",23.5391411666667,3.35405750226602,20.28766322,26.98713701,3
"77","UL","DOC.mg.L.SW",13.9009061933333,1.86530884480785,12.58023563,16.03475735,3
"78","UL","TDN.ug.L.SW",297.7037037,52.1034214190087,245.5079365,349.7142857,3
"79","UL","Biomass_per_Area",10.8585048575,6.02291190940439,3.9341814814,14.882607117,3
"80","UL","Curly.Leaf.Pondweed",0.0144592891,0.0125760996365834,0,0.0228529788,3
"81","UL","Ditchgrass",6.97724291218889,3.11722835959017,3.8521757894,10.0865729225,3
"82","UL","Elodea",0.335483615283333,0.286587225828657,0.0934352026,0.651934694,3
"83","UL","Filamentous.Algae",0.200873623205556,0.324614962647375,0.0129380492,0.57570621575,3
"84","UL","Nitella",0.0541174621111111,0.0937341939531281,0,0.162352386333333,3
"85","UL","Milfoil",0.00161682355555556,0.00280042054509638,0,0.00485047066666667,3
"86","UL","SDI",0.34141421595,0.202282521509982,0.1396019216,0.544163708,3
"87","UL","PAR.30da",661.972444033333,41.0459975547061,622.7644491,704.637746,3
"88","UL","AQI.30da",55.7222222233333,11.6325373773962,48.36666667,69.13333333,3
"89","UL","PM.30da",12.262777779,16.7439542153282,2.335,31.59466667,3
"90","UL","Temp.30da",19.2269506533333,4.53272269240022,14.70735758,23.77268985,3
"91","UL","Flow.cms.30da",4.83337567033333,1.33971022119305,3.987625878,6.378014331,3
"92","UL","Bulk_Density_g_mL",1.76694444444444,0.09384431749406,1.67643333333333,1.8638,3
"93","UL","pct_OM",1.61555555555556,0.270597760796626,1.42333333333333,1.925,3
"94","UL","sed_pH",7.17444444444444,0.0753940266815567,7.09,7.235,3
"95","UL","TSS_mgmL",0.0341782905713333,0.0339440627751941,0.008088235294,0.07255474453,3
"96","UL","Light_ext_coeff",0.0389333333333333,0.0167288174517308,0.0228,0.0562,3
